"分類","道路名稱","way_id","block_node","方向","approach_node","緯度","經度","Google Maps","OpenStreetMap","LanePilot範圍","LanePilot車道數","LanePilot轉向","人工車道數","人工轉向","車道來源作者","車道來源seq","車道來源target","轉向來源作者","轉向來源seq","轉向來源target","說明"
"完全一致","土庫一路","126247891","1400036531","正向","12954233419","22.735761150000002","120.33141245","https://www.google.com/maps/@22.735761150000002,120.33141245,20z","https://www.openstreetmap.org/way/126247891","segment_direction","2","through|through","2","through|through","anna","4612","way/126247891@b/1400036531","anna","4612","way/126247891@b/1400036531","移除此人工覆蓋後，僅就車道數與轉向而言，顯示結果仍相同。"
"完全一致","土庫一路","126247891","1400036850","反向","1400036850","22.73616605","120.3297953","https://www.google.com/maps/@22.73616605,120.3297953,20z","https://www.openstreetmap.org/way/126247891","segment_direction","2","left;through|through","2","left;through|through","anna","4606","way/126247891@b/1400036850","anna","4606","way/126247891@b/1400036850","移除此人工覆蓋後，僅就車道數與轉向而言，顯示結果仍相同。"
"完全一致","土庫一路","126247891","1400036850","正向","11622033017","22.736374668327716","120.328399917415","https://www.google.com/maps/@22.736374668327716,120.328399917415,20z","https://www.openstreetmap.org/way/126247891","segment_direction","2","through|through","2","through|through","anna","4606","way/126247891@b/1400036850","anna","4606","way/126247891@b/1400036850","移除此人工覆蓋後，僅就車道數與轉向而言，顯示結果仍相同。"
"完全一致","土庫一路","126247891","11622033017","反向","11622033017","22.736374668327716","120.328399917415","https://www.google.com/maps/@22.736374668327716,120.328399917415,20z","https://www.openstreetmap.org/way/126247891","segment_direction","2","left;through|through","2","left;through|through","anna","4603","way/126247891@b/11622033017","anna","4603","way/126247891@b/11622033017","移除此人工覆蓋後，僅就車道數與轉向而言，顯示結果仍相同。"
"完全一致","土庫一路","126247891","11622033017","正向","1400036044","22.736499350000003","120.3275659","https://www.google.com/maps/@22.736499350000003,120.3275659,20z","https://www.openstreetmap.org/way/126247891","intersection_approach","2","left;through|through","2","left;through|through","anna","4603","way/126247891@b/11622033017","anna","4603","way/126247891@b/11622033017","移除此人工覆蓋後，僅就車道數與轉向而言，顯示結果仍相同。"
"完全一致","土庫一路","126247891","12954233419","反向","12954233419","22.735761150000002","120.33141245","https://www.google.com/maps/@22.735761150000002,120.33141245,20z","https://www.openstreetmap.org/way/126247891","segment_direction","2","left;through|through","2","left;through|through","anna","4609","way/126247891@b/12954233419","anna","4609","way/126247891@b/12954233419","移除此人工覆蓋後，僅就車道數與轉向而言，顯示結果仍相同。"
"完全一致","土庫路","182835763","988779596","反向","988779596","22.7461352","120.3246415","https://www.google.com/maps/@22.7461352,120.3246415,20z","https://www.openstreetmap.org/way/182835763","intersection_approach","3","left|left|right","3","left|left|right","anna","4477","way/182835763@b/988779596","anna","4477","way/182835763@b/988779596","移除此人工覆蓋後，僅就車道數與轉向而言，顯示結果仍相同。"
"完全一致","土庫路","182835763","988779646","反向","988779646","22.7434110745957","120.32761532548227","https://www.google.com/maps/@22.7434110745957,120.32761532548227,20z","https://www.openstreetmap.org/way/182835763","segment_direction","3","left;through|through|through;right","3","left;through|through|through;right","anna","4491","way/182835763@b/988779646","anna","4491","way/182835763@b/988779646","移除此人工覆蓋後，僅就車道數與轉向而言，顯示結果仍相同。"
"完全一致","土庫路","182835763","988779646","正向","988779668","22.7413462","120.3291686","https://www.google.com/maps/@22.7413462,120.3291686,20z","https://www.openstreetmap.org/way/182835763","segment_direction","3","left;through|through|through;right","3","left;through|through|through;right","anna","4491","way/182835763@b/988779646","anna","4491","way/182835763@b/988779646","移除此人工覆蓋後，僅就車道數與轉向而言，顯示結果仍相同。"
"完全一致","土庫路","182835763","11065364207","反向","11065364207","22.7436451","120.3273766","https://www.google.com/maps/@22.7436451,120.3273766,20z","https://www.openstreetmap.org/way/182835763","segment_direction","3","left;through|through|through;right","3","left;through|through|through;right","anna","4486","way/182835763@b/11065364207","anna","4486","way/182835763@b/11065364207","移除此人工覆蓋後，僅就車道數與轉向而言，顯示結果仍相同。"
"完全一致","土庫路","297139353","988779599","反向","988779599","22.7395557","120.3302421","https://www.google.com/maps/@22.7395557,120.3302421,20z","https://www.openstreetmap.org/way/297139353","segment_direction","2","left;through|through;right","2","left;through|through;right","anna","4503","way/297139353@b/988779599","anna","4503","way/297139353@b/988779599","移除此人工覆蓋後，僅就車道數與轉向而言，顯示結果仍相同。"
"完全一致","土庫路","297139353","988779599","正向","3670358268","22.7391318","120.3305112","https://www.google.com/maps/@22.7391318,120.3305112,20z","https://www.openstreetmap.org/way/297139353","segment_direction","2","left;through|through;right","2","left;through|through;right","anna","4503","way/297139353@b/988779599","anna","4503","way/297139353@b/988779599","移除此人工覆蓋後，僅就車道數與轉向而言，顯示結果仍相同。"
"完全一致","土庫路","297139353","2264471194","反向","2264471194","22.7380437","120.3311808","https://www.google.com/maps/@22.7380437,120.3311808,20z","https://www.openstreetmap.org/way/297139353","segment_direction","2","left;through|through;right","2","left;through|through;right","anna","4517","way/297139353@b/2264471194","anna","4517","way/297139353@b/2264471194","移除此人工覆蓋後，僅就車道數與轉向而言，顯示結果仍相同。"
